#Types Before Cut: 11091
#Types After Cut: 9693
#Search Hits: 0
404	8	21.103	поехал
405	8	21.103	прихожу
406	8	21.103	смотрел
407	8	21.103	смотрела
408	8	21.103	типо
409	8	21.103	умер
410	8	21.103	учился
411	8	21.103	учится
412	8	21.103	хе
413	8	21.103	эт
414	13	20.718	бывает
415	13	20.718	говорила
416	27	20.677	слова
417	19	20.557	павел
418	14	20.351	надеюсь
419	10	20.300	интересные
420	10	20.300	рассказывала
421	40	20.284	говорить
422	30	19.882	чего
423	11	19.100	будто
424	11	19.100	знаете
425	11	19.100	отец
426	11	19.100	пошел
427	12	18.510	делали
428	12	18.510	купить
429	12	18.510	семье
430	7	18.466	бабушкой
431	7	18.466	боже
432	7	18.466	буквы
433	7	18.466	двери
434	7	18.466	детство
435	7	18.466	детьми
436	7	18.466	друзьями
437	7	18.466	ездить
438	7	18.466	ехали
439	7	18.466	живёт
440	7	18.466	забыла
441	7	18.466	задание
442	7	18.466	карл
443	7	18.466	квартиры
444	7	18.466	красивый
445	7	18.466	ненавижу
446	7	18.466	нету
447	7	18.466	ноль
448	7	18.466	одни
449	7	18.466	парень
450	7	18.466	понравилась
451	7	18.466	пошёл
452	7	18.466	пытаюсь
453	7	18.466	ребят
454	7	18.466	секунд
455	7	18.466	скажи
456	7	18.466	сорок
457	7	18.466	супер
458	7	18.466	троих
459	7	18.466	троллейбус
460	7	18.466	человечек
461	7	18.466	читаю
462	7	18.466	чё
463	153	18.298	еще
464	16	18.296	реально
465	16	18.296	уж
466	13	18.232	другую
467	13	18.232	специально
468	13	18.232	улице
469	9	17.862	брали
470	9	17.862	друзей
471	9	17.862	едем
472	9	17.862	жил
473	9	17.862	институте
474	9	17.862	историю
475	9	17.862	маленькая
476	9	17.862	мое
477	9	17.862	нечего
478	9	17.862	смеется
479	9	17.862	твоя
480	19	17.537	хотел
481	27	17.498	ей
482	17	16.904	разные
483	10	16.811	мной
484	10	16.811	написано
485	23	16.704	равно
486	29	16.598	соответственно
487	25	16.569	лучше
488	78	16.501	больше
489	11	16.336	посмотреть
490	11	16.336	скажем
491	11	16.336	считаю
492	19	16.208	говоря
493	12	16.150	друзья
494	13	16.134	языка
495	21	15.830	виктор
496	6	15.828	distinct
497	6	15.828	onion
498	6	15.828	part
499	6	15.828	автобус
500	6	15.828	автобусе
501	6	15.828	ам
502	6	15.828	антифриз
503	6	15.828	бабуля
504	6	15.828	бабушки
505	6	15.828	бешбармак
